vertexCount, flags, isLight, group, face type, tex/color, texFile
3, 3, 0, 128, 15, 128, 0
3, 3, 0, 128, 15, 128, 0
3, 3, 0, 128, 15, 128, 0
4, 8194, 0, 20, 18, 53, 40
4, 8194, 0, 21, 18, 54, 40
4, 8194, 0, 22, 18, 52, 40
4, 8194, 0, 23, 18, 55, 40
4, 3, 0, 208, 15, 208, 0
4, 3, 0, 208, 15, 208, 0
4, 3, 0, 208, 15, 208, 0
4, 3, 0, 208, 15, 208, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
6, 3, 0, 0, 15, 0, 0
6, 3, 0, 0, 15, 0, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
6, 3, 0, 0, 15, 0, 0
6, 3, 0, 0, 15, 0, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
6, 3, 0, 0, 15, 0, 0
6, 3, 0, 0, 15, 0, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
6, 3, 0, 0, 15, 0, 0
6, 3, 0, 0, 15, 0, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
6, 3, 0, 0, 15, 0, 0
6, 3, 0, 0, 15, 0, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
6, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 8194, 0, 19, 18, 5, 39
4, 8194, 0, 20, 18, 6, 39
4, 8194, 0, 21, 18, 4, 39
4, 8194, 0, 22, 18, 7, 39
4, 8194, 0, 23, 18, 7, 39
4, 8194, 0, 24, 18, 7, 39
4, 8194, 0, 25, 18, 5, 39
4, 8194, 0, 26, 18, 6, 39
4, 8194, 0, 27, 18, 56, 39
4, 8194, 0, 28, 18, 59, 39
4, 8194, 0, 29, 18, 56, 39
4, 8194, 0, 30, 18, 56, 39
4, 8194, 0, 31, 18, 57, 39
4, 8194, 0, 32, 18, 57, 39
4, 8194, 0, 33, 18, 58, 39
4, 8194, 0, 34, 18, 58, 39
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 9, 18, 22, 39
4, 8194, 0, 10, 18, 22, 39
4, 8194, 0, 11, 18, 21, 39
4, 8194, 0, 12, 18, 21, 39
4, 8194, 0, 13, 18, 20, 39
4, 8194, 0, 14, 18, 20, 39
4, 8194, 0, 15, 18, 23, 39
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 21, 18, 37, 40
4, 8194, 0, 22, 18, 38, 40
4, 8194, 0, 23, 18, 39, 40
4, 8194, 0, 24, 18, 36, 40
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 0, 18, 57, 2
4, 8194, 0, 1, 18, 57, 39
4, 8194, 0, 2, 18, 58, 39
4, 8194, 0, 3, 18, 58, 2
4, 8194, 0, 4, 18, 56, 2
4, 8194, 0, 5, 18, 59, 2
4, 8194, 0, 6, 18, 13, 39
4, 8194, 0, 7, 18, 59, 2
4, 8194, 0, 8, 18, 52, 40
4, 8194, 0, 9, 18, 53, 40
4, 8194, 0, 10, 18, 52, 40
4, 8194, 0, 11, 18, 52, 40
4, 8194, 0, 12, 18, 54, 40
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 15, 18, 55, 40
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 0, 18, 61, 40
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 249, 25, 249, 0
4, 8194, 0, 0, 18, 61, 40
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 249, 25, 249, 0
4, 8194, 0, 0, 18, 61, 40
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 249, 25, 249, 0
6, 16386, 0, 48, 19, 48, 0
3, 16386, 0, 48, 19, 48, 0
3, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
6, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 8194, 0, 16, 18, 61, 40
4, 8194, 0, 17, 18, 61, 40
4, 8194, 0, 18, 18, 61, 40
4, 8194, 0, 19, 18, 61, 40
4, 8194, 0, 20, 18, 61, 40
4, 8194, 0, 21, 18, 61, 40
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
6, 16386, 0, 48, 19, 48, 0
3, 16386, 0, 48, 19, 48, 0
3, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
6, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 8194, 0, 16, 18, 61, 40
4, 8194, 0, 17, 18, 61, 40
4, 8194, 0, 18, 18, 61, 40
4, 8194, 0, 19, 18, 61, 40
4, 8194, 0, 20, 18, 61, 40
4, 8194, 0, 21, 18, 61, 40
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
5, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
3, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 3, 0, 16, 15, 16, 0
4, 8194, 0, 47, 18, 36, 40
4, 8194, 0, 48, 18, 39, 40
4, 8194, 0, 49, 18, 20, 40
3, 8194, 0, 50, 18, 47, 40
3, 8194, 0, 51, 18, 47, 40
3, 8194, 0, 52, 18, 44, 40
3, 8194, 0, 53, 18, 44, 40
4, 8194, 0, 54, 18, 46, 40
4, 8194, 0, 55, 18, 60, 40
4, 8194, 0, 56, 18, 60, 40
4, 8194, 0, 57, 18, 60, 40
4, 8194, 0, 58, 18, 60, 40
4, 8194, 0, 59, 18, 63, 40
4, 8194, 0, 60, 18, 61, 40
4, 8194, 0, 61, 18, 62, 40
4, 8194, 0, 62, 18, 61, 40
4, 8194, 0, 63, 18, 2, 40
4, 8194, 0, 64, 18, 1, 40
4, 8194, 0, 65, 18, 3, 40
4, 8194, 0, 66, 18, 0, 40
4, 8194, 0, 67, 18, 3, 40
4, 8194, 0, 68, 18, 0, 40
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
2, 32770, 0, 50, 20, 50, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 2, 18, 30, 2
4, 8194, 0, 3, 18, 29, 2
4, 8194, 0, 4, 18, 31, 2
4, 8194, 0, 5, 18, 28, 2
4, 8194, 0, 6, 18, 46, 40
4, 8194, 0, 7, 18, 44, 40
4, 8194, 0, 8, 18, 45, 40
4, 8194, 0, 9, 18, 45, 40
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 249, 25, 249, 0
4, 8194, 0, 0, 18, 11, 39
4, 8194, 0, 1, 18, 8, 39
4, 8194, 0, 2, 18, 10, 39
4, 8194, 0, 3, 18, 9, 39
4, 8194, 0, 4, 18, 60, 39
4, 8194, 0, 5, 18, 63, 39
4, 8194, 0, 6, 18, 61, 39
4, 8194, 0, 7, 18, 61, 39
4, 8194, 0, 8, 18, 60, 39
4, 8194, 0, 9, 18, 62, 39
4, 8194, 0, 10, 18, 0, 39
4, 8194, 0, 11, 18, 3, 39
4, 8194, 0, 12, 18, 1, 39
4, 8194, 0, 13, 18, 1, 39
4, 8194, 0, 14, 18, 0, 39
4, 8194, 0, 15, 18, 2, 39
4, 8194, 0, 16, 18, 63, 39
4, 8194, 0, 17, 18, 60, 39
4, 8194, 0, 18, 18, 62, 39
4, 8194, 0, 19, 18, 61, 39
4, 8194, 0, 20, 18, 60, 39
4, 8194, 0, 21, 18, 63, 39
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 0, 15, 0, 0
1, 2, 1, 249, 25, 249, 0
1, 2, 1, 252, 25, 252, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
1, 2, 1, 252, 25, 252, 0
1, 2, 1, 249, 25, 249, 0
5, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 128, 15, 128, 0
4, 3, 0, 128, 15, 128, 0
4, 8194, 0, 2, 18, 41, 2
3, 8194, 0, 3, 18, 55, 40
3, 8194, 0, 4, 18, 52, 40
4, 8194, 0, 5, 18, 55, 40
4, 8194, 0, 6, 18, 52, 40
4, 8194, 0, 7, 18, 41, 2
4, 8194, 0, 8, 18, 41, 2
4, 8194, 0, 9, 18, 41, 2
4, 8194, 0, 10, 18, 54, 40
4, 8194, 0, 11, 18, 53, 40
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 8194, 0, 15, 18, 43, 2
4, 8194, 0, 16, 18, 40, 2
4, 8194, 0, 17, 18, 42, 2
4, 8194, 0, 18, 18, 41, 2
4, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 16386, 0, 48, 19, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
6, 3, 0, 48, 15, 48, 0
5, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 8194, 0, 18, 18, 56, 40
4, 8194, 0, 19, 18, 59, 40
4, 8194, 0, 20, 18, 58, 40
4, 8194, 0, 21, 18, 57, 40
4, 8194, 0, 22, 18, 42, 2
4, 8194, 0, 23, 18, 38, 40
4, 8194, 0, 24, 18, 36, 40
4, 8194, 0, 25, 18, 39, 40
4, 8194, 0, 26, 18, 37, 40
4, 8194, 0, 27, 18, 43, 2
4, 8194, 0, 28, 18, 43, 2
4, 8194, 0, 29, 18, 43, 2
4, 8194, 0, 30, 18, 43, 2
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
4, 3, 0, 48, 15, 48, 0
3, 3, 0, 48, 15, 48, 0
