File,Mesh Number,Description (from SCURK if applicable),Size,SimCity 2000 XBLD value,Comments
sim3d2,57,Suspension bridge Left Start,1,81,
sim3d2,58,Suspension bridge Bottom Start,1,81,
sim3d2,59,Suspension bridge Left Middle,1,82,
sim3d2,60,Suspension bridge Bottom Middle,1,82,
sim3d2,61,Suspension bridge Center Horizontal,1,83,
sim3d2,62,Suspension bridge Center Vertical,1,83,
sim3d2,63,Suspension bridge Right Middle,1,84,
sim3d2,64,Suspension bridge Top Middle,1,84,
sim3d2,65,Suspension bridge Right End,1,85,
sim3d2,66,Suspension bridge Top End,1,85,
sim3d2,67,Raising Bridge Tower Vertical,1,86,
sim3d2,68,Raising Bridge Tower Horizontal,1,86,
sim3d2,69,Rail bridge,1,,
sim3d2,70,Rail bridge,1,,
sim3d2,71,Wire bridge south -> north,1,92,
sim3d2,72,Wire bridge west -> east,1,92,
sim3d2,73,206 Jet Ranger (helicopter),N/A,N/A,
sim3d2,74,Helicopter shadow,N/A,N/A,
sim3d2,75,Rotor (five blades),N/A,N/A,
sim3d2,76,Tail rotor,N/A,N/A,
sim3d2,77,Rotor shadow (two blades),N/A,N/A,
sim3d2,78,Car (compact),N/A,N/A,
sim3d2,79,Bambi bucket,N/A,N/A,
sim3d2,80,Ray fired by UFO,N/A,N/A,
sim3d2,81,Car (station wagon),N/A,N/A,
sim3d2,82,Car (pickup truck),N/A,N/A,
sim3d2,83,Line (unknown),N/A,N/A,
sim3d2,84,Missile,N/A,N/A,
sim3d2,85,Tree,1,6,
sim3d2,86,Couple O Trees,1,7,
sim3d2,87,More Trees,1,8,
sim3d2,88,Morer Trees,1,9,
sim3d2,89,Even More Trees,1,10,
sim3d2,90,Tons O Trees,1,11,
sim3d2,91,Veritable Jungle,1,12,
sim3d2,92,McDD 500 (helicopter),N/A,N/A,
sim3d2,93,Rotor (two blades),N/A,N/A,
sim3d2,94,Spotlight,N/A,N/A,
sim3d2,95,Apache (helicopter),N/A,N/A,
sim3d2,96,Rotor (four blades),N/A,N/A,
sim3d2,97,Fire truck,N/A,N/A,
sim3d2,98,Police car,N/A,N/A,
sim3d2,99,Burglar's car (coupe utility),N/A,N/A,
sim3d2,100,Ambulance,N/A,N/A,
sim3d2,101,Vertical arrangement of points,N/A,N/A,
sim3d2,102,Fire dispatch pylon,N/A,N/A,
sim3d2,103,Police dispatch pylon,N/A,N/A,
sim3d2,104,Ambulance dispatch pylon,N/A,N/A,
sim3d2,105,Bell 212 (helicopter),N/A,N/A,
sim3d2,106,Schweitzer 300 (helicopter),N/A,N/A,
sim3d2,107,Rotor (four blades),N/A,N/A,
sim3d2,108,Rotor (three blades),N/A,N/A,
sim3d2,109,Car (sedan),N/A,N/A,
sim3d2,110,Car (hatchback),N/A,N/A,
sim3d2,111,Car (van),N/A,N/A,
sim3d2,112,Train locomotive,N/A,N/A,
sim3d2,113,Cessna,N/A,N/A,
sim3d2,114,Sailboat,N/A,N/A,
sim3d2,115,Agusta A109 (helicopter),N/A,N/A,
sim3d2,116,Rotor (four blades),N/A,N/A,
sim3d2,117,Tear gas canister,N/A,N/A,
sim3d2,118,Single point,N/A,N/A,
sim3d2,119,Debris,N/A,N/A,
sim3d2,120,Debris,N/A,N/A,
sim3d2,121,Debris,N/A,N/A,
sim3d2,122,Train car,N/A,N/A,
sim3d2,123,Train car,N/A,N/A,Appears identical to 122
sim3d2,124,Dauphin 2 (helicopter),N/A,N/A,
sim3d2,125,Rotor (four blades),N/A,N/A,
sim3d2,126,Helicopter shadow,N/A,N/A,
sim3d2,127,Helicopter shadow,N/A,N/A,
sim3d2,128,Helicopter shadow,N/A,N/A,
sim3d2,129,Helicopter shadow,N/A,N/A,
sim3d2,130,Helicopter shadow,N/A,N/A,
sim3d2,131,Helicopter shadow,N/A,N/A,
sim3d2,132,Helicopter shadow,N/A,N/A,
sim3d2,133,Rotor shadow (four blades),N/A,N/A,
sim3d2,134,Rotor shadow (two blades),N/A,N/A,
sim3d2,135,Rotor shadow (four blades),N/A,N/A,
sim3d2,136,Rotor shadow (five blades),N/A,N/A,
sim3d2,137,Rotor shadow (two blades),N/A,N/A,
sim3d2,138,Rotor shadow (three blades),N/A,N/A,
sim3d2,139,Rotor shadow (four blades),N/A,N/A,
sim3d2,140,Overturned boat,N/A,N/A,
sim3d2,141,Winch,N/A,N/A,
sim3d2,142,Rescue harness,N/A,N/A,
sim3d2,143,Tear gas launcher,N/A,N/A,
sim3d2,144,UFO,N/A,N/A,
sim3d3,1,Small Factory 6,2,165,
sim3d3,2,Chemical Processing 1,3,188,Looks like Medium Factory. Misassigned?
sim3d3,3,Industrial Thingamajig,3,190,Looks like Large Warehouse 2. Misassigned?
sim3d3,4,Warehouse,1,130,"This is a commercial building, not industrial."
sim3d3,5,Office Tower 1,3,179,
sim3d3,6,Mini Mall,3,180,
sim3d3,7,Theatre,3,181,
sim3d3,8,Historic Office,3,186,
sim3d3,9,Lower Class Homes 1,1,112,
sim3d3,10,Lower Class Homes 2,1,113,
sim3d3,11,Lower Class Homes 3,1,114,
sim3d3,12,Middle Class Homes 1,1,115,
sim3d3,13,Middle Class Homes 2,1,116,
sim3d3,14,Middle Class Homes 3,1,117,
sim3d3,15,Middle Class Homes 4,1,118,
sim3d3,16,Middle Class Homes 5,1,119,
sim3d3,17,Upper Class Homes 1,1,120,
sim3d3,18,Upper Class Homes 2,1,121,
sim3d3,19,Upper Class Homes 3,1,122,
sim3d3,20,Upper Class Homes 4,1,123,
sim3d3,21,Gas Station 1,1,124,
sim3d3,22,Bed and Breakfast Inn,1,125,
sim3d3,23,Convenience Store,1,126,
sim3d3,24,Gas Station 2,1,127,
sim3d3,25,Small Office Building 1,1,128,
sim3d3,26,Small Office Building 2,1,129,
sim3d3,27,Cassidy's Toy Store,1,131,
sim3d3,28,Chemical Storage,1,133,
sim3d3,29,Small Warehouse 2,1,134,
sim3d3,30,Small Apartments 1,2,140,
sim3d3,31,Medium Apartments 1,2,143,
sim3d3,32,Medium Apartments 2,2,144,
sim3d3,33,Medium Condominiums 2,2,146,
sim3d3,34,Medium Condominiums 3,2,147,
sim3d3,35,Grocery Store,2,149,
sim3d3,36,Office/Retail,2,153,
sim3d3,37,Construction 3,2,166,
sim3d3,38,Construction 4,2,167,
sim3d3,39,Construction 6,2,169,
sim3d3,40,Large Apartments 1,3,174,
sim3d3,41,Large Condominiums 1,3,176,
sim3d3,42,Parking Lot,3,185,"Actually a parking garage, not a parking lot (in both SC2K and SimCopter)."
sim3d3,43,Large Factory,3,189,Looks like Large Warehouse 1. Misassigned?
sim3d3,44,Medium Factory,3,191,Looks like Chemical Processing 1. Misassigned?
sim3d3,45,Large Warehouse 1,3,192,Looks like Large Factory. Misassigned?
sim3d3,46,Large Warehouse 2,3,193,Looks (sort of) like Industrial Thingamajig. Misassigned?
sim3d3,47,Construction 1,3,194,
sim3d3,48,Construction 2,3,195,Identical to 47.
sim3d3,49,Abandoned Building 7,3,196,Doesn't look abandoned.
sim3d3,50,Abandoned Building 8,3,197,
sim3d3,51,Hydroelectric Power Plant 1,1,198,
sim3d3,52,Hydroelectric Power Plant 1,1,199,
sim3d3,53,Wind Power Plant,1,200,
sim3d3,54,Natural Gas Power Plant,4,201,
sim3d3,55,Oil Power Plant,4,202,
sim3d3,56,Nuclear Power Plant,4,203,
sim3d3,57,Solar Power Plant,4,204,
sim3d3,58,Microwave Power Plant,4,205,
sim3d3,59,Fusion Power Plant,4,206,
sim3d3,60,Coal Power Plant,4,207,
sim3d3,61,Fire Dept,3,211,
sim3d3,62,Prison,4,216,
sim3d3,63,College,4,217,
sim3d3,64,Statue,1,219,
sim3d3,65,Water Pump,1,220,
sim3d3,66,Subway Station,1,233,
sim3d3,67,Radar,1,234,
sim3d3,68,Bus Station,2,236,
sim3d3,69,Rail Station,2,237,
sim3d3,70,Civilian Parking Lot,2,238,
sim3d3,71,Military Parking Lot,2,239,
sim3d3,72,Loading Bay,2,240,
sim3d3,73,Top Secret,2,241,Military building.
sim3d3,74,Cargo Yard,2,242,
sim3d3,75,Mayor's House,2,243,
sim3d3,76,Water Treatment,2,244,
sim3d3,77,Marina,3,248,
sim3d3,78,Missile Silo,3,249,
sim3d3,79,Forest Arcology,4,252,
sim3d3,80,Darco Arcology,4,253,
sim3d3,81,Highway,1,,
sim3d3,82,Highway,1,,
sim3d3,83,Highway with road with sidewalk underneath,1,,
sim3d3,84,Highway with road with sidewalk underneath,1,,
sim3d3,85,Onramp,1,,
sim3d3,86,Onramp,1,,
sim3d3,87,Onramp,1,,
sim3d3,88,Onramp,1,,
sim3d3,89,Onramp,1,,
sim3d3,90,Onramp,1,,
sim3d3,91,Onramp,1,,
sim3d3,92,Onramp,1,,
sim3d3,93,Highway side-by-side,2,,
sim3d3,94,Highway side-by-side,2,,
sim3d3,95,Highway side-by-side,2,,
sim3d3,96,Highway side-by-side,2,,
sim3d3,97,Highway side-by-side,2,,
sim3d3,98,Highway side-by-side,2,,
sim3d3,99,Highway side-by-side,2,,
sim3d3,100,Highway side-by-side,2,,
sim3d3,101,Highway side-by-side,2,,
sim3d3,102,Road/wire crossing,1,,Must be special since there's an earlier road/wire crossing.
sim3d3,103,Road/wire crossing,1,,
sim3d3,104,Park,1,13,
sim3d3,105,Big park,3,213,Higher LOD: includes a shed and more trees.
sim3d3,106,Park,1,13,Looks the same as 104.
sim3d3,107,Big park,3,213,Lower LOD: no shed and fewer trees. Used when player is further away but park is still visible.
sim3d3,108,Point and line,,,
sim3d3,109,Debris,,,
sim3d3,110,Debris,,,
sim3d3,111,Debris,,,
sim3d3,112,Debris,,,
sim3d3,113,Zoo,4,218,Only central 2x2 region is occupied.
